"t","v","k","N","Source","arith_family","arith_tier"
5,2,2380,938,"Power CT68^2,cT33c","Power CT","ARITHMETIC"
5,2,4624,940,"Power CT68^2,c","Power CT","ARITHMETIC"
5,2,4707,986,"Power CT73^2Arc(7)T2","Power CT","ARITH_OPEN"
5,2,4896,988,"Power CT72^2,cT4c","Power CT","ARITHMETIC"
5,2,5184,996,"Power CT72^2,c","Power CT","ARITHMETIC"
5,2,5440,1078,"Power CT80^2,cT12c","Power CT","ARITHMETIC"
5,2,5760,1086,"Power CT80^2,cT8c","Power CT","ARITHMETIC"
5,2,5867,1097,"Power CT81^2Arc(7)T2","Power CT","ARITH_OPEN"
5,2,6400,1101,"Power CT80^2,c","Power CT","ARITHMETIC"
5,2,6720,1155,"Power CT84^2,cT4c","Power CT","ARITHMETIC"
5,2,7056,1164,"Power CT84^2,c","Power CT","ARITHMETIC"
5,2,7200,1215,"Power CT90^2,cT10c","Power CT","ARITHMETIC"
5,2,7560,1224,"Power CT90^2,cT6c","Power CT","ARITHMETIC"
5,2,8100,1234,"Power CT90^2,c","Power CT","ARITHMETIC"
5,2,8232,1320,"Power CT98^2,cT14c","Power CT","ARITHMETIC"
5,2,8820,1330,"Power CT98^2,cT8c","Power CT","ARITHMETIC"
5,2,9604,1346,"Power CT98^2,c","Power CT","ARITHMETIC"
5,2,10000,1402,"Power CT100^2,c","Power CT","ARITHMETIC"
6,2,2504,3047,"Add 1 factors","Add n factors","ARITHMETIC"
6,2,2505,3591,"Add 1 factors","Add n factors","ARITHMETIC"
6,2,2506,4135,"Add 1 factors","Add n factors","ARITHMETIC"
6,2,2507,4679,"Add 1 factors","Add n factors","ARITHMETIC"
6,2,2673,4721,"Power CZ3-19.15-15.4","Power CZ","ARITH_OPEN"
6,2,2752,4839,"Power CT19^3T3cS18","Power CT","ARITHMETIC"
6,2,2784,4864,"Power CT19^3T3cS17","Power CT","ARITHMETIC"
6,2,2839,4889,"Power CZ3-19.11-18.0-17.8","Power CZ","ARITH_OPEN"
6,2,3375,4893,"Power CZ3-19.16-15.1-15.1-15.1","Power CZ","ARITH_OPEN"
6,2,3600,4943,"Power CZ3-19.16-15.1-15.1-16.1","Power CZ","ARITH_OPEN"
6,2,3840,4993,"Power CZ3-19.16-15.1-16.1-16.1","Power CZ","ARITH_OPEN"
6,2,4050,5041,"Power CZ3-19.16-15.1-15.1-18.1","Power CZ","ARITH_OPEN"
6,2,4096,5043,"Power CZ3-19.16-16.1-16.1-16.1","Power CZ","ARITH_OPEN"
6,2,4275,5065,"Power CZ3-19.17-15.1-15.1","Power CZ","ARITH_OPEN"
6,2,4320,5091,"Power CZ3-19.16-15.1-16.1-18.1","Power CZ","ARITH_OPEN"
6,2,4352,5100,"Power CZ3-19.16-16.1-16.1-17.1","Power CZ","ARITH_OPEN"
6,2,4560,5115,"Power CZ3-19.17-15.1-16.1","Power CZ","ARITH_OPEN"
6,2,4608,5141,"Power CZ3-19.16-16.1-16.1-18.1","Power CZ","ARITH_OPEN"
6,2,4624,5157,"Power CZ3-19.16-16.1-17.1-17.1","Power CZ","ARITH_OPEN"
6,2,4864,5165,"Power CZ3-19.17-16.1-16.1","Power CZ","ARITH_OPEN"
6,2,4896,5198,"Power CZ3-19.16-16.1-17.1-18.1","Power CZ","ARITH_OPEN"
6,2,5130,5213,"Power CZ3-19.17-15.1-18.1","Power CZ","ARITH_OPEN"
6,2,5168,5222,"Power CZ3-19.17-16.1-17.1","Power CZ","ARITH_OPEN"
6,2,5415,5237,"Power CZ3-19.18-15.1","Power CZ","ARITH_OPEN"
6,2,5472,5263,"Power CZ3-19.17-16.1-18.1","Power CZ","ARITH_OPEN"
6,2,5491,5279,"Power CZ3-19.17-17.1-17.1","Power CZ","ARITH_OPEN"
6,2,5776,5287,"Power CZ3-19.18-16.1","Power CZ","ARITH_OPEN"
6,2,5814,5320,"Power CZ3-19.17-17.1-18.1","Power CZ","ARITH_OPEN"
6,2,6137,5344,"Power CZ3-19.18-17.1","Power CZ","ARITH_OPEN"
6,2,6860,5681,"Power CT19^3+1","Power CT","ARITHMETIC"
6,2,6861,5975,"Power CZ3-21.19","Power CZ","ARITH_OPEN"
6,2,6930,6245,"Power CZ3-23.16-15.1-21.1-22.1","Power CZ","ARITH_OPEN"
6,2,6945,6252,"Power CZ3-23.15-22.3-15.1","Power CZ","ARITH_OPEN"
6,2,7245,6258,"Power CZ3-23.17-15.1-21.1","Power CZ","ARITH_OPEN"
6,2,7260,6265,"Power CZ3-23.16-22.2-15.1","Power CZ","ARITH_OPEN"
6,2,7590,6278,"Power CZ3-23.17-15.1-22.1","Power CZ","ARITH_OPEN"
6,2,7935,6291,"Power CZ3-23.18-15.1","Power CZ","ARITH_OPEN"
6,2,8096,6328,"Power CZ3-23.17-16.1-22.1","Power CZ","ARITH_OPEN"
6,2,8464,6341,"Power CZ3-23.18-16.1","Power CZ","ARITH_OPEN"
6,2,8602,6385,"Power CZ3-23.17-17.1-22.1","Power CZ","ARITH_OPEN"
6,2,8993,6398,"Power CZ3-23.18-17.1","Power CZ","ARITH_OPEN"
6,2,9261,6421,"Power CZ3-23.16-22.0-21.3","Power CZ","ARITH_OPEN"
6,2,9282,6428,"Power CZ3-23.15-22.2-21.2","Power CZ","ARITH_OPEN"
6,2,9303,6435,"Power CZ3-23.14-22.4-21.1","Power CZ","ARITH_OPEN"
6,2,9522,6439,"Power CZ3-23.18-18.1","Power CZ","ARITH_OPEN"
6,2,9702,6441,"Power CZ3-23.16-22.1-21.2","Power CZ","ARITH_OPEN"
6,2,9723,6448,"Power CZ3-23.15-22.3-21.1","Power CZ","ARITH_OPEN"
6,2,10000,6454,"Power CZ3-23.17-21.1-21.1","Power CZ","ARITH_OPEN"
3,3,14,45,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,16,51,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,17,58,"Torres Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,22,66,"Cyclic (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,23,69,"Cyclic (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,28,75,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling","ARITHMETIC"
3,3,32,81,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling","ARITHMETIC"
3,3,34,88,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling","ARITHMETIC"
3,3,40,89,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling","ARITHMETIC"
3,3,46,93,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,47,95,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,48,97,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,49,99,"Cover starter (Colbourn, Torres-Jimenez)","terminal (search or published array)","TERMINAL_CLAIMED"
3,3,144,135,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,196,147,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,211,153,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,280,171,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,308,178,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,392,189,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,448,195,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,588,213,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITHMETIC"
3,3,594,217,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,604,218,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,631,219,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,644,220,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,654,222,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,674,224,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,702,225,"Power CZ3-13.4-6.1-9.1","Power CZ","ARITH_OPEN"
3,3,704,227,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,1014,228,"Power CZ3-13.5-6.1","Power CZ","ARITH_OPEN"
3,3,1352,234,"Power CZ3-13.5-8.1","Power CZ","ARITH_OPEN"
3,3,1521,237,"Power CZ3-13.5-9.1","Power CZ","ARITH_OPEN"
3,3,1690,240,"Power CZ3-13.5-10.1","Power CZ","ARITH_OPEN"
3,3,2028,246,"Power CZ3-13.5-12.1","Power CZ","ARITH_OPEN"
3,3,2198,249,"Power CZ3-14.6","Power CZ","ARITH_OPEN"
3,3,2744,264,"Power CZ3-16.3-14.1-14.1-14.1","Power CZ","ARITH_OPEN"
3,3,3136,270,"Power CZ3-16.4-14.1-14.1","Power CZ","ARITH_OPEN"
3,3,3584,276,"Power CZ3-16.5-14.1","Power CZ","ARITH_OPEN"
3,3,4096,282,"Power CZ3-16.6","Power CZ","ARITH_OPEN"
3,3,4097,300,"Add a factor","Add a factor","ARITHMETIC"
3,3,4352,303,"Power CZ3-17.4-16.1-16.1","Power CZ","ARITH_OPEN"
3,3,4608,306,"Power CZ3-19.3-16.1-16.1-18.1","Power CZ","ARITH_OPEN"
3,3,4788,308,"Power CZ3-19.4-14.1-18.1","Power CZ","ARITH_OPEN"
3,3,4864,312,"Power CZ3-19.4-16.1-16.1","Power CZ","ARITH_OPEN"
3,3,4896,313,"Power CZ3-19.3-16.1-17.1-18.1","Power CZ","ARITH_OPEN"
3,3,5472,314,"Power CZ3-19.4-16.1-18.1","Power CZ","ARITH_OPEN"
3,3,5776,320,"Power CZ3-19.5-16.1","Power CZ","ARITH_OPEN"
3,3,5814,321,"Power CZ3-19.4-17.1-18.1","Power CZ","ARITH_OPEN"
3,3,6498,322,"Power CZ3-19.5-18.1","Power CZ","ARITH_OPEN"
3,3,6859,328,"Power CZ3-19.6","Power CZ","ARITH_OPEN"
3,3,6860,330,"Power CZ3-20.6","Power CZ","ARITH_OPEN"
3,3,7168,348,"Chateauneuf-Kreher doubling","Chateauneuf-Kreher doubling","ARITHMETIC"
3,3,8000,350,"Power CZ3-23.3-20.1-20.1-20.1","Power CZ","ARITH_OPEN"
3,3,8100,352,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITHMETIC"
3,3,8233,354,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,8800,357,"Power CZ3-23.3-20.1-20.1-22.1","Power CZ","ARITH_OPEN"
3,3,8860,358,"Power CZ3-23.1-22.4-20.1","Power CZ","ARITH_OPEN"
3,3,9408,360,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITHMETIC"
3,3,9409,362,"Cohen-Colbourn-Ling",NA,"NOT_ATTEMPTED"
3,3,9680,364,"Power CZ3-23.3-22.2-20.1","Power CZ","ARITH_OPEN"
3,3,9746,365,"Power CZ3-23.1-22.5","Power CZ","ARITH_OPEN"
3,3,10000,366,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITHMETIC"
4,3,9,135,"Derive from strength 5","Derive","ARITHMETIC"
4,3,12,189,"Torres-Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,13,212,"Torres-Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,55,512,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,58,522,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,63,531,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,67,548,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn) postop NCK","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,72,567,"PGL (Maity-Akhtar-Chandrasekharan-Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,433,868,"Cyclotomy shift (AG+TJ+H)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,487,974,"Cyclotomy shift (AG+TJ+H)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,499,999,"Cyclotomy mult (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,523,1026,"Cyclotomy shift (AG+TJ+H)","terminal (search or published array)","TERMINAL_CLAIMED"
4,3,6982,2327,"Derive from strength 5","Derive","ARITHMETIC"
4,3,7012,2337,"Derive from strength 5","Derive","ARITHMETIC"
4,3,7013,2571,"Add a factor","Add a factor","ARITHMETIC"
4,3,7164,2601,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,7168,2681,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,8192,2693,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,8194,2729,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,8704,2735,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,8764,2741,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,9216,2821,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,9424,2825,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
4,3,10000,2871,"Colbourn-Martirosyan-TVT-Walker","Colbourn-Martirosyan-TVT-Walker","ARITH_OPEN"
5,3,2659,5318,"Cyclotomy shift (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
5,3,2671,5345,"Cyclotomy shift (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
5,3,2683,5369,"Cyclotomy shift (Colbourn)","terminal (search or published array)","TERMINAL_CLAIMED"
5,3,2684,6953,"Add 1 factors","Add n factors","ARITHMETIC"
5,3,7014,9101,"Add 1 factors","Add n factors","ARITHMETIC"
5,3,7015,9803,"Add 2 factors","Add n factors","ARITHMETIC"
5,3,7016,9965,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,8,1134,"Torres-Jimenez","terminal (search or published array)","TERMINAL_CLAIMED"
6,3,351,19675,"Add 1 factors","Add n factors","ARITHMETIC"
6,3,352,22969,"Add 2 factors","Add n factors","ARITHMETIC"
6,3,353,24427,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,354,29635,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,355,32929,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,356,34387,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,357,39595,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,358,42889,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,359,44347,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,360,49555,"Add 3 factors","Add n factors","ARITHMETIC"
6,3,361,49598,"Power CZ2-19.13","Power CZ","ARITH_OPEN"
6,3,362,52065,"Power CT19^2+1","Power CT","ARITHMETIC"
6,3,363,54587,"Power CT19^2+2","Power CT","ARITHMETIC"
6,3,364,57187,"Power CT19^2+3","Power CT","ARITHMETIC"
6,3,560,57864,"perfect hash family4,560,350","perfect hash family","ARITHMETIC"
6,3,678,60140,"Martirosyan-Colbourn","Martirosyan-Colbourn","ARITHMETIC"
6,3,700,65212,"Martirosyan-Colbourn","Martirosyan-Colbourn","ARITHMETIC"
6,3,702,67327,"Power CZ2-27.12-26.1","Power CZ","ARITH_OPEN"
6,3,729,67477,"Power CZ2-27.13","Power CZ","ARITH_OPEN"
6,3,730,69654,"Power CT27^2+1","Power CT","ARITHMETIC"
6,3,754,69927,"Power CT29^2T3","Power CT","ARITHMETIC"
6,3,756,70056,"Power CT29^2T2T1","Power CT","ARITHMETIC"
6,3,783,70107,"Power CT29^2T2","Power CT","ARITHMETIC"
6,3,784,70215,"Power CT29^2T1T1","Power CT","ARITHMETIC"
6,3,812,70266,"Power CT29^2T1","Power CT","ARITHMETIC"
6,3,841,70317,"Power CT29^2","Power CT","ARITHMETIC"
6,3,866,72330,"perfect hash family5,866,350","perfect hash family","ARITHMETIC"
6,3,870,73570,"Power CT31^2T2T1","Power CT","ARITHMETIC"
6,3,871,73613,"Power CT31^2Arc(3)","Power CT","ARITHMETIC"
6,3,899,73689,"Power CT31^2T2","Power CT","ARITHMETIC"
6,3,900,73732,"Power CT31^2T1T1","Power CT","ARITHMETIC"
6,3,930,73851,"Power CT31^2T1","Power CT","ARITHMETIC"
6,3,961,73970,"Power CT31^2","Power CT","ARITHMETIC"
6,3,992,75110,"Power CT32^2T1","Power CT","ARITHMETIC"
6,3,1024,75205,"Power CT32^2","Power CT","ARITHMETIC"
6,3,1027,75712,"Power CT32^2+3","Power CT","ARITHMETIC"
6,3,1039,79640,"Power CT37^2Arc(10):5 twos,0 ones","Power CT","ARITHMETIC"
6,3,1040,79995,"Power CT37^2Arc(12):4 twos,2 ones","Power CT","ARITHMETIC"
6,3,1068,80063,"Power CT37^2Arc(10):4 twos,1 ones","Power CT","ARITHMETIC"
6,3,1097,80131,"Power CT37^2Arc(8):4 twos,0 ones","Power CT","ARITHMETIC"
6,3,1098,80486,"Power CT37^2Arc(10):3 twos,2 ones","Power CT","ARITHMETIC"
6,3,1128,80554,"Power CT37^2Arc(8):3 twos,1 ones","Power CT","ARITHMETIC"
6,3,1159,80622,"Power CT37^2Arc(6):3 twos,0 ones","Power CT","ARITHMETIC"
6,3,1160,80977,"Power CT37^2Arc(8):2 twos,2 ones","Power CT","ARITHMETIC"
6,3,1192,81045,"Power CT37^2Arc(6):2 twos,1 ones","Power CT","ARITHMETIC"
6,3,1225,81113,"Power CT37^2T2T2","Power CT","ARITHMETIC"
6,3,1226,81468,"Power CT37^2Arc(2)T2","Power CT","ARITHMETIC"
6,3,1260,81536,"Power CT37^2T2T1","Power CT","ARITHMETIC"
6,3,1295,81604,"Power CT37^2T2","Power CT","ARITHMETIC"
6,3,1296,81959,"Power CT37^2T1T1","Power CT","ARITHMETIC"
6,3,1332,82027,"Power CT37^2T1","Power CT","ARITHMETIC"
6,3,1369,82095,"Power CT37^2","Power CT","ARITHMETIC"
6,3,1370,83889,"Power CT37^2+1","Power CT","ARITHMETIC"
6,3,1371,85566,"Power CT37^2+2","Power CT","ARITHMETIC"
6,3,1372,86606,"Power CT37^2+3","Power CT","ARITHMETIC"
6,3,1400,86780,"Power CT41^2T6T1","Power CT","ARITHMETIC"
6,3,1435,86872,"Power CT41^2T6","Power CT","ARITHMETIC"
6,3,1444,87179,"Power CT41^2Arc(2)T4","Power CT","ARITHMETIC"
6,3,1447,87225,"Power CT41^2Arc(3)T3","Power CT","ARITHMETIC"
6,3,1450,87250,"Power CT41^2Arc(6)","Power CT","ARITHMETIC"
6,3,1480,87271,"Power CT41^2T4T1","Power CT","ARITHMETIC"
6,3,1483,87317,"Power CT41^2Arc(2)T3","Power CT","ARITHMETIC"
6,3,1486,87342,"Power CT41^2Arc(5)","Power CT","ARITHMETIC"
6,3,1517,87363,"Power CT41^2T4","Power CT","ARITHMETIC"
6,3,1520,87409,"Power CT41^2T3T1","Power CT","ARITHMETIC"
6,3,1523,87434,"Power CT41^2Arc(4)","Power CT","ARITHMETIC"
6,3,1558,87501,"Power CT41^2T3","Power CT","ARITHMETIC"
6,3,1561,87526,"Power CT41^2Arc(3)","Power CT","ARITHMETIC"
6,3,1600,87618,"Power CT41^2T1T1","Power CT","ARITHMETIC"
6,3,1640,87710,"Power CT41^2T1","Power CT","ARITHMETIC"
6,3,1681,87802,"Power CT41^2","Power CT","ARITHMETIC"
6,3,1682,89297,"Power CT41^2+1","Power CT","ARITHMETIC"
6,3,1683,91844,"Power CT43^2Arc(4)","Power CT","ARITHMETIC"
6,3,1723,92127,"Power CT43^2Arc(3)","Power CT","ARITHMETIC"
6,3,1764,92410,"Power CT43^2T1T1","Power CT","ARITHMETIC"
6,3,1806,92693,"Power CT43^2T1","Power CT","ARITHMETIC"
6,3,1849,92976,"Power CT43^2","Power CT","ARITHMETIC"
6,3,1850,94419,"Power CT43^2+1","Power CT","ARITHMETIC"
6,3,1851,95511,"Power CT43^2+2","Power CT","ARITHMETIC"
6,3,1852,97253,"Power CT43^2+3","Power CT","ARITHMETIC"
6,3,1862,97353,"Power CT49^2T11","Power CT","ARITHMETIC"
6,3,1890,97442,"Power CT47^2T5T2","Power CT","ARITHMETIC"
6,3,1911,97482,"Power CT49^2T10","Power CT","ARITHMETIC"
6,3,1927,97546,"Power CT47^2T6","Power CT","ARITHMETIC"
6,3,1960,97562,"Power CT49^2T9","Power CT","ARITHMETIC"
6,3,2009,97654,"Power CT49^2T8","Power CT","ARITHMETIC"
6,3,2058,97769,"Power CT49^2T7","Power CT","ARITHMETIC"
6,3,2107,98052,"Power CT49^2T6","Power CT","ARITHMETIC"
6,3,2115,98139,"Power CT47^2T2","Power CT","ARITHMETIC"
6,3,2156,98163,"Power CT49^2T5","Power CT","ARITHMETIC"
6,3,2205,98247,"Power CT49^2T4","Power CT","ARITHMETIC"
6,3,2209,98358,"Power CT47^2","Power CT","ARITHMETIC"
6,3,2254,98381,"Power CT49^2T3","Power CT","ARITHMETIC"
6,3,2303,98466,"Power CT49^2T2","Power CT","ARITHMETIC"
6,3,2402,98475,"Power CT49^2+1","Power CT","ARITHMETIC"
6,3,2403,99242,"Power CT49^2+2","Power CT","ARITHMETIC"
6,3,2404,99515,"Power CT49^2+3","Power CT","ARITHMETIC"
6,3,2413,99965,"Power CT53^2Arc(8)","Power CT","ARITHMETIC"
6,3,2459,100055,"Power CT53^2Arc(7)","Power CT","ARITHMETIC"
6,3,2506,100145,"Power CT53^2Arc(6)","Power CT","ARITHMETIC"
6,3,2554,100235,"Power CT53^2Arc(5)","Power CT","ARITHMETIC"
6,3,2603,100325,"Power CT53^2Arc(4)","Power CT","ARITHMETIC"
6,3,2653,100415,"Power CT53^2Arc(3)","Power CT","ARITHMETIC"
6,3,2704,100505,"Power CT53^2T1T1","Power CT","ARITHMETIC"
6,3,2756,100595,"Power CT53^2T1","Power CT","ARITHMETIC"
6,3,2810,100685,"Power CT53^2+1","Power CT","ARITHMETIC"
6,3,2811,101348,"Power CT53^2+2","Power CT","ARITHMETIC"
6,3,2814,103974,"Power CT53^2 +5","Power CT","ARITHMETIC"
6,3,2839,104662,"Power CT59^2Arc(12)","Power CT","ARITHMETIC"
6,3,2887,105350,"Power CT59^2Arc(11)","Power CT","ARITHMETIC"
6,3,2936,106038,"Power CT59^2Arc(10)","Power CT","ARITHMETIC"
6,3,2986,106726,"Power CT59^2Arc(9)","Power CT","ARITHMETIC"
6,3,3037,107414,"Power CT59^2Arc(8)","Power CT","ARITHMETIC"
6,3,3089,108102,"Power CT59^2Arc(7)","Power CT","ARITHMETIC"
6,3,3142,108790,"Power CT59^2Arc(6)","Power CT","ARITHMETIC"
